Current Byte,Max Value,Result,Mean Absolute Error,SD for Byte,SD for Residual
152092.0,62088.4,-,105854.87666666668,79578.10419575474,37015.0312574569
2635.0,2697.6,-,105854.87666666668,79578.10419575474,37015.0312574569
216.0,1665.2,-,105854.87666666668,79578.10419575474,37015.0312574569
100.0,3675.6,-,105854.87666666668,79578.10419575474,37015.0312574569
178.0,4222.0,-,105854.87666666668,79578.10419575474,37015.0312574569
3615.0,4737.2,1,105854.87666666668,79578.10419575474,37015.0312574569
54.0,113241.2,1,105854.87666666668,79578.10419575474,37015.0312574569
5242.0,276032.0,0,105854.87666666668,79578.10419575474,37015.0312574569
1466.0,274328.0,1,105854.87666666668,79578.10419575474,37015.0312574569
1466.0,318411.6,1,105854.87666666668,79578.10419575474,37015.0312574569
274875.0,317847.2,0,105854.87666666668,79578.10419575474,37015.0312574569
407031.0,207923.6,0,105854.87666666668,79578.10419575474,37015.0312574569
982.0,45208.0,1,105854.87666666668,79578.10419575474,37015.0312574569
111675.0,44860.4,1,105854.87666666668,79578.10419575474,37015.0312574569
55.0,212.0,1,105854.87666666668,79578.10419575474,37015.0312574569
66.0,230.0,1,105854.87666666668,79578.10419575474,37015.0312574569
242.0,274.8,1,105854.87666666668,79578.10419575474,37015.0312574569
113.0,1577.6,1,105854.87666666668,79578.10419575474,37015.0312574569
54.0,1618.8,1,105854.87666666668,79578.10419575474,37015.0312574569
100.0,1642.4,1,105854.87666666668,79578.10419575474,37015.0312574569
178.0,1639.2,1,105854.87666666668,79578.10419575474,37015.0312574569
3499.0,2718.4,0,105854.87666666668,79578.10419575474,37015.0312574569
216.0,1340.8,1,105854.87666666668,79578.10419575474,37015.0312574569
113.0,1280.8,1,105854.87666666668,79578.10419575474,37015.0312574569
92.0,1284.0,1,105854.87666666668,79578.10419575474,37015.0312574569
2876.0,1317.6,0,105854.87666666668,79578.10419575474,37015.0312574569
55.0,730.0,1,105854.87666666668,79578.10419575474,37015.0312574569
66.0,730.0,1,105854.87666666668,79578.10419575474,37015.0312574569
121.0,725.6,1,105854.87666666668,79578.10419575474,37015.0312574569
176.0,703.6,1,105854.87666666668,79578.10419575474,37015.0312574569
1407.0,659.6,0,105854.87666666668,79578.10419575474,37015.0312574569
55.0,118.8,1,105854.87666666668,79578.10419575474,37015.0312574569
55.0,123.2,1,105854.87666666668,79578.10419575474,37015.0312574569
66.0,123.2,1,105854.87666666668,79578.10419575474,37015.0312574569
66.0,123.2,1,105854.87666666668,79578.10419575474,37015.0312574569
55.0,294.4,1,105854.87666666668,79578.10419575474,37015.0312574569
66.0,312.4,1,105854.87666666668,79578.10419575474,37015.0312574569
55.0,516.4,1,105854.87666666668,79578.10419575474,37015.0312574569
66.0,516.0,1,105854.87666666668,79578.10419575474,37015.0312574569
494.0,511.2,0,105854.87666666668,79578.10419575474,37015.0312574569
100.0,353.6,1,105854.87666666668,79578.10419575474,37015.0312574569
576.0,3600.0,0,105854.87666666668,79578.10419575474,37015.0312574569
54.0,20628.8,1,105854.87666666668,79578.10419575474,37015.0312574569
54.0,84008.8,1,105854.87666666668,79578.10419575474,37015.0312574569
100.0,285818.4,1,105854.87666666668,79578.10419575474,37015.0312574569
8216.0,519706.0,0,105854.87666666668,79578.10419575474,37015.0312574569
43148.0,829210.8,0,105854.87666666668,79578.10419575474,37015.0312574569
158504.0,1192061.6,0,105854.87666666668,79578.10419575474,37015.0312574569
504578.0,1491495.6,0,105854.87666666668,79578.10419575474,37015.0312574569
584819.0,1367274.4,0,105854.87666666668,79578.10419575474,37015.0312574569
781978.0,1176129.6,0,105854.87666666668,79578.10419575474,37015.0312574569
950275.0,909488.8,0,105854.87666666668,79578.10419575474,37015.0312574569
907089.0,744154.0,1,105854.87666666668,79578.10419575474,37015.0312574569
194025.0,498380.0,1,105854.87666666668,79578.10419575474,37015.0312574569
106957.0,537703.6,1,105854.87666666668,79578.10419575474,37015.0312574569
115376.0,787292.8,1,105854.87666666668,79578.10419575474,37015.0312574569
536938.0,,1,105854.87666666668,79578.10419575474,37015.0312574569
292654.0,,1,105854.87666666668,79578.10419575474,37015.0312574569
292334.0,,1,105854.87666666668,79578.10419575474,37015.0312574569
730930.0,,0,105854.87666666668,79578.10419575474,37015.0312574569
