Current Byte,Max Value,Result,Mean Absolute Error,SD for Byte,SD for Residual
154943.0,386460.0,-,417772.6333333333,413021.4208483154,61481.457696934915
9189.0,325882.4,-,417772.6333333333,413021.4208483154,61481.457696934915
797495.0,322791.6,-,417772.6333333333,413021.4208483154,61481.457696934915
530.0,3868.4,-,417772.6333333333,413021.4208483154,61481.457696934915
3993.0,4221.2,-,417772.6333333333,413021.4208483154,61481.457696934915
3499.0,522413.2,1,417772.6333333333,413021.4208483154,61481.457696934915
1462.0,1697143.2,1,417772.6333333333,413021.4208483154,61481.457696934915
187.0,2483851.2,1,417772.6333333333,413021.4208483154,61481.457696934915
1412.0,,1,417772.6333333333,413021.4208483154,61481.457696934915
1299473.0,,0,417772.6333333333,413021.4208483154,61481.457696934915
2940324.0,,0,417772.6333333333,413021.4208483154,61481.457696934915
1968232.0,,0,417772.6333333333,413021.4208483154,61481.457696934915
