Current Byte,Max Value,Result,Mean Absolute Error,SD for Byte,SD for Residual
152092.0,33412.8,-,137908.76666666666,79578.10419575474,24867.004
2635.0,57969.4,-,137908.76666666666,79578.10419575474,24867.004
216.0,138848.6,-,137908.76666666666,79578.10419575474,24867.004
100.0,139001.8,-,137908.76666666666,79578.10419575474,24867.004
178.0,161316.8,-,137908.76666666666,79578.10419575474,24867.004
3615.0,161292.2,-,137908.76666666666,79578.10419575474,24867.004
54.0,160582.4,-,137908.76666666666,79578.10419575474,24867.004
5242.0,160620.0,-,137908.76666666666,79578.10419575474,24867.004
1466.0,159594.2,-,137908.76666666666,79578.10419575474,24867.004
1466.0,159311.8,-,137908.76666666666,79578.10419575474,24867.004
274875.0,159038.6,0,137908.76666666666,79578.10419575474,24867.004
407031.0,104099.2,0,137908.76666666666,79578.10419575474,24867.004
982.0,23392.8,1,137908.76666666666,79578.10419575474,24867.004
111675.0,23239.6,1,137908.76666666666,79578.10419575474,24867.004
55.0,927.2,1,137908.76666666666,79578.10419575474,24867.004
66.0,934.6,1,137908.76666666666,79578.10419575474,24867.004
242.0,1496.6,1,137908.76666666666,79578.10419575474,24867.004
113.0,1459.2,1,137908.76666666666,79578.10419575474,24867.004
54.0,1449.8,1,137908.76666666666,79578.10419575474,24867.004
100.0,1463.2,1,137908.76666666666,79578.10419575474,24867.004
178.0,1478.4,1,137908.76666666666,79578.10419575474,24867.004
3499.0,1724.2,1,137908.76666666666,79578.10419575474,24867.004
216.0,1035.4,1,137908.76666666666,79578.10419575474,24867.004
113.0,1003.2,1,137908.76666666666,79578.10419575474,24867.004
92.0,993.8,1,137908.76666666666,79578.10419575474,24867.004
2876.0,988.6,0,137908.76666666666,79578.10419575474,24867.004
55.0,424.4,1,137908.76666666666,79578.10419575474,24867.004
66.0,426.6,1,137908.76666666666,79578.10419575474,24867.004
121.0,424.4,1,137908.76666666666,79578.10419575474,24867.004
176.0,413.4,1,137908.76666666666,79578.10419575474,24867.004
1407.0,477.0,1,137908.76666666666,79578.10419575474,24867.004
55.0,215.6,1,137908.76666666666,79578.10419575474,24867.004
55.0,319.8,1,137908.76666666666,79578.10419575474,24867.004
66.0,319.6,1,137908.76666666666,79578.10419575474,24867.004
66.0,317.2,1,137908.76666666666,79578.10419575474,24867.004
55.0,324.0,1,137908.76666666666,79578.10419575474,24867.004
66.0,1956.2,1,137908.76666666666,79578.10419575474,24867.004
55.0,10572.6,1,137908.76666666666,79578.10419575474,24867.004
66.0,42262.4,1,137908.76666666666,79578.10419575474,24867.004
494.0,143164.8,0,137908.76666666666,79578.10419575474,24867.004
100.0,260029.8,1,137908.76666666666,79578.10419575474,24867.004
576.0,416405.4,0,137908.76666666666,79578.10419575474,24867.004
54.0,606345.2,1,137908.76666666666,79578.10419575474,24867.004
54.0,787752.2,1,137908.76666666666,79578.10419575474,24867.004
100.0,826546.4,1,137908.76666666666,79578.10419575474,24867.004
8216.0,847917.8,0,137908.76666666666,79578.10419575474,24867.004
43148.0,869349.8,0,137908.76666666666,79578.10419575474,24867.004
158504.0,968107.8,0,137908.76666666666,79578.10419575474,24867.004
504578.0,994937.8,0,137908.76666666666,79578.10419575474,24867.004
584819.0,952489.0,0,137908.76666666666,79578.10419575474,24867.004
781978.0,981711.2,0,137908.76666666666,79578.10419575474,24867.004
950275.0,,0,137908.76666666666,79578.10419575474,24867.004
907089.0,,0,137908.76666666666,79578.10419575474,24867.004
194025.0,,1,137908.76666666666,79578.10419575474,24867.004
106957.0,,1,137908.76666666666,79578.10419575474,24867.004
115376.0,,1,137908.76666666666,79578.10419575474,24867.004
536938.0,,1,137908.76666666666,79578.10419575474,24867.004
292654.0,,1,137908.76666666666,79578.10419575474,24867.004
292334.0,,1,137908.76666666666,79578.10419575474,24867.004
730930.0,,1,137908.76666666666,79578.10419575474,24867.004
