Current Byte,Max Value,Result,Mean Absolute Error,SD for Byte,SD for Residual
152092.0,61498.0,-,1935.722466666663,8506.388933231285,8523.157069768435
603.0,682.8,-,1935.722466666663,8506.388933231285,8523.157069768435
100.0,481.6,-,1935.722466666663,8506.388933231285,8523.157069768435
896.0,517.2,-,1935.722466666663,8506.388933231285,8523.157069768435
54.0,211.2,-,1935.722466666663,8506.388933231285,8523.157069768435
54.0,226.4,1,1935.722466666663,8506.388933231285,8523.157069768435
100.0,226.4,1,1935.722466666663,8506.388933231285,8523.157069768435
189.0,226.4,1,1935.722466666663,8506.388933231285,8523.157069768435
131.0,172.4,1,1935.722466666663,8506.388933231285,8523.157069768435
92.0,160.0,1,1935.722466666663,8506.388933231285,8523.157069768435
54.0,144.8,1,1935.722466666663,8506.388933231285,8523.157069768435
100.0,144.8,1,1935.722466666663,8506.388933231285,8523.157069768435
54.0,126.4,1,1935.722466666663,8506.388933231285,8523.157069768435
100.0,126.4,1,1935.722466666663,8506.388933231285,8523.157069768435
54.0,108.0,1,1935.722466666663,8506.388933231285,8523.157069768435
54.0,108.0,1,1935.722466666663,8506.388933231285,8523.157069768435
54.0,126.4,1,1935.722466666663,8506.388933231285,8523.157069768435
54.0,176.0,1,1935.722466666663,8506.388933231285,8523.157069768435
54.0,728.0,1,1935.722466666663,8506.388933231285,8523.157069768435
54.0,797.2,1,1935.722466666663,8506.388933231285,8523.157069768435
100.0,797.2,1,1935.722466666663,8506.388933231285,8523.157069768435
178.0,797.2,0,1935.722466666663,8506.388933231285,8523.157069768435
1434.0,747.6,0,1935.722466666663,8506.388933231285,8523.157069768435
227.0,195.6,1,1935.722466666663,8506.388933231285,8523.157069768435
54.0,126.4,1,1935.722466666663,8506.388933231285,8523.157069768435
100.0,126.4,1,1935.722466666663,8506.388933231285,8523.157069768435
54.0,144.0,1,1935.722466666663,8506.388933231285,8523.157069768435
54.0,375.6,1,1935.722466666663,8506.388933231285,8523.157069768435
54.0,375.6,1,1935.722466666663,8506.388933231285,8523.157069768435
54.0,452.8,1,1935.722466666663,8506.388933231285,8523.157069768435
144.0,510.4,0,1935.722466666663,8506.388933231285,8523.157069768435
633.0,474.4,0,1935.722466666663,8506.388933231285,8523.157069768435
54.0,261.2,1,1935.722466666663,8506.388933231285,8523.157069768435
247.0,279.6,1,1935.722466666663,8506.388933231285,8523.157069768435
198.0,202.4,1,1935.722466666663,8506.388933231285,8523.157069768435
54.0,144.8,1,1935.722466666663,8506.388933231285,8523.157069768435
100.0,149.6,1,1935.722466666663,8506.388933231285,8523.157069768435
100.0,164.8,1,1935.722466666663,8506.388933231285,8523.157069768435
54.0,151.2,1,1935.722466666663,8506.388933231285,8523.157069768435
54.0,151.2,1,1935.722466666663,8506.388933231285,8523.157069768435
66.0,222.0,1,1935.722466666663,8506.388933231285,8523.157069768435
138.0,217.2,1,1935.722466666663,8506.388933231285,8523.157069768435
66.0,183.6,1,1935.722466666663,8506.388933231285,8523.157069768435
54.0,743.6,1,1935.722466666663,8506.388933231285,8523.157069768435
