Current Byte,Max Value,Result,Mean Absolute Error,SD for Byte,SD for Residual
113.0,296.68,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,294.8,1,34174.83539999999,29420.392441381922,29309.6815949642
100.0,294.84,1,34174.83539999999,29420.392441381922,29309.6815949642
178.0,293.04,1,34174.83539999999,29420.392441381922,29309.6815949642
1434.0,288.56,1,34174.83539999999,29420.392441381922,29309.6815949642
295.0,232.88,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,222.76,1,34174.83539999999,29420.392441381922,29309.6815949642
100.0,223.24,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,225.24,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,227.08,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,227.08,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,227.08,1,34174.83539999999,29420.392441381922,29309.6815949642
144.0,228.92,1,34174.83539999999,29420.392441381922,29309.6815949642
532.0,225.32,1,34174.83539999999,29420.392441381922,29309.6815949642
174.0,209.76,1,34174.83539999999,29420.392441381922,29309.6815949642
242.0,208.2,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,204.04,1,34174.83539999999,29420.392441381922,29309.6815949642
100.0,204.04,1,34174.83539999999,29420.392441381922,29309.6815949642
100.0,204.04,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,202.2,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,202.24,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,202.72,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,202.76,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,202.8,1,34174.83539999999,29420.392441381922,29309.6815949642
113.0,203.28,1,34174.83539999999,29420.392441381922,29309.6815949642
92.0,201.4,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,199.92,1,34174.83539999999,29420.392441381922,29309.6815949642
100.0,200.4,1,34174.83539999999,29420.392441381922,29309.6815949642
100.0,198.6,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,197.24,1,34174.83539999999,29420.392441381922,29309.6815949642
699.0,214.84,1,34174.83539999999,29420.392441381922,29309.6815949642
66.0,190.88,1,34174.83539999999,29420.392441381922,29309.6815949642
66.0,211.28,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,210.8,1,34174.83539999999,29420.392441381922,29309.6815949642
