Current Value Sum,Max Value,Residual,Results
154943.0,61977.2,52788.2,1
9189.0,3675.6,-793819.4,0
797495.0,318998.0,318468.0,1
530.0,212.0,-3781.0,0
3993.0,1597.2,-1901.8,0
3499.0,1399.6,-62.40000000000009,0
1462.0,584.8,397.79999999999995,1
187.0,74.8,-1337.2,0
1412.0,564.8,-1298908.2,0
1299473.0,519789.2,-2420534.8,0
2940324.0,1176129.6,-792102.3999999999,0
1968232.0,787292.8,0.0, 
