Current Packets,Max Value,Result,Mean Absolute Error,SD for Byte,SD for Residual
178, ,-,132.40333333333334,91.87431447916741,49.09668168080319
15, ,-,132.40333333333334,91.87431447916741,49.09668168080319
4, ,-,132.40333333333334,91.87431447916741,49.09668168080319
1, ,-,132.40333333333334,91.87431447916741,49.09668168080319
1,79.6,-,132.40333333333334,91.87431447916741,49.09668168080319
17,15.2,1,132.40333333333334,91.87431447916741,49.09668168080319
1,9.6,1,132.40333333333334,91.87431447916741,49.09668168080319
15,14.0,0,132.40333333333334,91.87431447916741,49.09668168080319
1,14.0,1,132.40333333333334,91.87431447916741,49.09668168080319
1,14.0,1,132.40333333333334,91.87431447916741,49.09668168080319
304,128.8,0,132.40333333333334,91.87431447916741,49.09668168080319
426,298.8,0,132.40333333333334,91.87431447916741,49.09668168080319
2,293.6,1,132.40333333333334,91.87431447916741,49.09668168080319
119,340.8,1,132.40333333333334,91.87431447916741,49.09668168080319
1,340.8,1,132.40333333333334,91.87431447916741,49.09668168080319
1,219.6,1,132.40333333333334,91.87431447916741,49.09668168080319
4,50.8,1,132.40333333333334,91.87431447916741,49.09668168080319
1,50.4,1,132.40333333333334,91.87431447916741,49.09668168080319
1,3.2,1,132.40333333333334,91.87431447916741,49.09668168080319
1,3.2,1,132.40333333333334,91.87431447916741,49.09668168080319
1,3.2,1,132.40333333333334,91.87431447916741,49.09668168080319
16,8.0,0,132.40333333333334,91.87431447916741,49.09668168080319
4,9.2,1,132.40333333333334,91.87431447916741,49.09668168080319
1,9.2,1,132.40333333333334,91.87431447916741,49.09668168080319
1,9.2,1,132.40333333333334,91.87431447916741,49.09668168080319
21,17.2,0,132.40333333333334,91.87431447916741,49.09668168080319
1,11.2,1,132.40333333333334,91.87431447916741,49.09668168080319
1,10.0,1,132.40333333333334,91.87431447916741,49.09668168080319
2,10.4,1,132.40333333333334,91.87431447916741,49.09668168080319
3,11.2,1,132.40333333333334,91.87431447916741,49.09668168080319
17,9.6,0,132.40333333333334,91.87431447916741,49.09668168080319
1,9.6,1,132.40333333333334,91.87431447916741,49.09668168080319
1,9.6,1,132.40333333333334,91.87431447916741,49.09668168080319
1,9.2,1,132.40333333333334,91.87431447916741,49.09668168080319
1,8.4,1,132.40333333333334,91.87431447916741,49.09668168080319
1,2.0,1,132.40333333333334,91.87431447916741,49.09668168080319
1,2.0,1,132.40333333333334,91.87431447916741,49.09668168080319
1,2.0,1,132.40333333333334,91.87431447916741,49.09668168080319
1,2.0,1,132.40333333333334,91.87431447916741,49.09668168080319
1,2.0,1,132.40333333333334,91.87431447916741,49.09668168080319
1,2.0,1,132.40333333333334,91.87431447916741,49.09668168080319
1,2.0,1,132.40333333333334,91.87431447916741,49.09668168080319
1,2.0,1,132.40333333333334,91.87431447916741,49.09668168080319
1,2.0,1,132.40333333333334,91.87431447916741,49.09668168080319
1,2.0,1,132.40333333333334,91.87431447916741,49.09668168080319
53,22.8,0,132.40333333333334,91.87431447916741,49.09668168080319
62,47.2,0,132.40333333333334,91.87431447916741,49.09668168080319
286,161.2,0,132.40333333333334,91.87431447916741,49.09668168080319
873,510.0,0,132.40333333333334,91.87431447916741,49.09668168080319
920,877.6,0,132.40333333333334,91.87431447916741,49.09668168080319
1134,1310.0,0,132.40333333333334,91.87431447916741,49.09668168080319
1218,1772.4,1,132.40333333333334,91.87431447916741,49.09668168080319
1157,2120.8,1,132.40333333333334,91.87431447916741,49.09668168080319
271,1880.0,1,132.40333333333334,91.87431447916741,49.09668168080319
114,1557.6,1,132.40333333333334,91.87431447916741,49.09668168080319
127,1154.8,1,132.40333333333334,91.87431447916741,49.09668168080319
618,914.8,1,132.40333333333334,91.87431447916741,49.09668168080319
333,585.2,1,132.40333333333334,91.87431447916741,49.09668168080319
351,617.2,1,132.40333333333334,91.87431447916741,49.09668168080319
865,917.6,0,132.40333333333334,91.87431447916741,49.09668168080319
