Current Packets,Max Value,Result,Mean Absolute Error,SD for Byte,SD for Residual
178, ,-,182.13666666666668,91.87431447916741,44.033714285714275
15, ,-,182.13666666666668,91.87431447916741,44.033714285714275
4, ,-,182.13666666666668,91.87431447916741,44.033714285714275
1, ,-,182.13666666666668,91.87431447916741,44.033714285714275
1, ,-,182.13666666666668,91.87431447916741,44.033714285714275
17, ,-,182.13666666666668,91.87431447916741,44.033714285714275
1, ,-,182.13666666666668,91.87431447916741,44.033714285714275
15, ,-,182.13666666666668,91.87431447916741,44.033714285714275
1, ,-,182.13666666666668,91.87431447916741,44.033714285714275
1,46.8,-,182.13666666666668,91.87431447916741,44.033714285714275
304,72.0,0,182.13666666666668,91.87431447916741,44.033714285714275
426,154.2,0,182.13666666666668,91.87431447916741,44.033714285714275
2,153.8,1,182.13666666666668,91.87431447916741,44.033714285714275
119,177.4,1,182.13666666666668,91.87431447916741,44.033714285714275
1,177.4,1,182.13666666666668,91.87431447916741,44.033714285714275
1,174.2,1,182.13666666666668,91.87431447916741,44.033714285714275
4,174.8,1,182.13666666666668,91.87431447916741,44.033714285714275
1,172.0,1,182.13666666666668,91.87431447916741,44.033714285714275
1,172.0,1,182.13666666666668,91.87431447916741,44.033714285714275
1,172.0,1,182.13666666666668,91.87431447916741,44.033714285714275
1,111.4,1,182.13666666666668,91.87431447916741,44.033714285714275
16,29.4,1,182.13666666666668,91.87431447916741,44.033714285714275
4,29.8,1,182.13666666666668,91.87431447916741,44.033714285714275
1,6.2,1,182.13666666666668,91.87431447916741,44.033714285714275
1,6.2,1,182.13666666666668,91.87431447916741,44.033714285714275
21,10.2,0,182.13666666666668,91.87431447916741,44.033714285714275
1,9.6,1,182.13666666666668,91.87431447916741,44.033714285714275
1,9.6,1,182.13666666666668,91.87431447916741,44.033714285714275
2,9.8,1,182.13666666666668,91.87431447916741,44.033714285714275
3,10.2,1,182.13666666666668,91.87431447916741,44.033714285714275
17,13.4,0,182.13666666666668,91.87431447916741,44.033714285714275
1,10.4,1,182.13666666666668,91.87431447916741,44.033714285714275
1,9.8,1,182.13666666666668,91.87431447916741,44.033714285714275
1,9.8,1,182.13666666666668,91.87431447916741,44.033714285714275
1,9.8,1,182.13666666666668,91.87431447916741,44.033714285714275
1,5.8,1,182.13666666666668,91.87431447916741,44.033714285714275
1,5.8,1,182.13666666666668,91.87431447916741,44.033714285714275
1,5.8,1,182.13666666666668,91.87431447916741,44.033714285714275
1,5.6,1,182.13666666666668,91.87431447916741,44.033714285714275
1,5.2,1,182.13666666666668,91.87431447916741,44.033714285714275
1,2.0,1,182.13666666666668,91.87431447916741,44.033714285714275
1,2.0,1,182.13666666666668,91.87431447916741,44.033714285714275
1,2.0,1,182.13666666666668,91.87431447916741,44.033714285714275
1,2.0,1,182.13666666666668,91.87431447916741,44.033714285714275
1,2.0,1,182.13666666666668,91.87431447916741,44.033714285714275
53,12.4,0,182.13666666666668,91.87431447916741,44.033714285714275
62,24.6,0,182.13666666666668,91.87431447916741,44.033714285714275
286,81.6,0,182.13666666666668,91.87431447916741,44.033714285714275
873,256.0,0,182.13666666666668,91.87431447916741,44.033714285714275
920,439.8,0,182.13666666666668,91.87431447916741,44.033714285714275
1134,666.4,0,182.13666666666668,91.87431447916741,44.033714285714275
1218,909.8,0,182.13666666666668,91.87431447916741,44.033714285714275
1157,1141.0,0,182.13666666666668,91.87431447916741,44.033714285714275
271,1195.0,1,182.13666666666668,91.87431447916741,44.033714285714275
114,1217.6,1,182.13666666666668,91.87431447916741,44.033714285714275
127,1232.4,1,182.13666666666668,91.87431447916741,44.033714285714275
618,1343.6,1,182.13666666666668,91.87431447916741,44.033714285714275
333,1353.0,1,182.13666666666668,91.87431447916741,44.033714285714275
351,1248.6,1,182.13666666666668,91.87431447916741,44.033714285714275
865,1237.6,1,182.13666666666668,91.87431447916741,44.033714285714275
