Current Byte,Max Value,Result,Mean Absolute Error,SD for Byte,SD for Residual
152092.0,61498.0,-,33621.275000000016,29420.392441381922,30391.027272699906
603.0,682.8,-,33621.275000000016,29420.392441381922,30391.027272699906
100.0,481.6,-,33621.275000000016,29420.392441381922,30391.027272699906
896.0,517.2,-,33621.275000000016,29420.392441381922,30391.027272699906
54.0,211.2,-,33621.275000000016,29420.392441381922,30391.027272699906
54.0,226.4,1,33621.275000000016,29420.392441381922,30391.027272699906
100.0,371.2,1,33621.275000000016,29420.392441381922,30391.027272699906
189.0,352.8,1,33621.275000000016,29420.392441381922,30391.027272699906
131.0,298.8,1,33621.275000000016,29420.392441381922,30391.027272699906
92.0,268.0,1,33621.275000000016,29420.392441381922,30391.027272699906
416.0,252.8,0,33621.275000000016,29420.392441381922,30391.027272699906
54.0,126.4,1,33621.275000000016,29420.392441381922,30391.027272699906
54.0,176.0,1,33621.275000000016,29420.392441381922,30391.027272699906
54.0,728.0,1,33621.275000000016,29420.392441381922,30391.027272699906
54.0,797.2,1,33621.275000000016,29420.392441381922,30391.027272699906
100.0,797.2,1,33621.275000000016,29420.392441381922,30391.027272699906
178.0,797.2,0,33621.275000000016,29420.392441381922,30391.027272699906
1434.0,747.6,0,33621.275000000016,29420.392441381922,30391.027272699906
227.0,195.6,1,33621.275000000016,29420.392441381922,30391.027272699906
54.0,126.4,1,33621.275000000016,29420.392441381922,30391.027272699906
100.0,126.4,1,33621.275000000016,29420.392441381922,30391.027272699906
54.0,144.0,1,33621.275000000016,29420.392441381922,30391.027272699906
54.0,375.6,1,33621.275000000016,29420.392441381922,30391.027272699906
54.0,375.6,1,33621.275000000016,29420.392441381922,30391.027272699906
54.0,452.8,1,33621.275000000016,29420.392441381922,30391.027272699906
144.0,510.4,0,33621.275000000016,29420.392441381922,30391.027272699906
633.0,474.4,0,33621.275000000016,29420.392441381922,30391.027272699906
54.0,261.2,1,33621.275000000016,29420.392441381922,30391.027272699906
247.0,279.6,1,33621.275000000016,29420.392441381922,30391.027272699906
198.0,202.4,1,33621.275000000016,29420.392441381922,30391.027272699906
54.0,144.8,1,33621.275000000016,29420.392441381922,30391.027272699906
100.0,149.6,1,33621.275000000016,29420.392441381922,30391.027272699906
100.0,164.8,1,33621.275000000016,29420.392441381922,30391.027272699906
54.0,151.2,1,33621.275000000016,29420.392441381922,30391.027272699906
54.0,151.2,1,33621.275000000016,29420.392441381922,30391.027272699906
66.0,222.0,1,33621.275000000016,29420.392441381922,30391.027272699906
138.0,217.2,1,33621.275000000016,29420.392441381922,30391.027272699906
66.0,183.6,1,33621.275000000016,29420.392441381922,30391.027272699906
54.0,743.6,1,33621.275000000016,29420.392441381922,30391.027272699906
231.0,1308.4,0,33621.275000000016,29420.392441381922,30391.027272699906
54.0,1237.6,1,33621.275000000016,29420.392441381922,30391.027272699906
54.0,1588.4,1,33621.275000000016,29420.392441381922,30391.027272699906
1466.0,1625.6,0,33621.275000000016,29420.392441381922,30391.027272699906
1466.0,1174.4,0,33621.275000000016,29420.392441381922,30391.027272699906
54.0,637.2,1,33621.275000000016,29420.392441381922,30391.027272699906
931.0,637.2,1,33621.275000000016,29420.392441381922,30391.027272699906
147.0,851.2,1,33621.275000000016,29420.392441381922,30391.027272699906
