Current Byte,Max Value,Result,Mean Absolute Error,SD for Byte,SD for Residual
152092.0,6501.56,-,2230.8241533333457,8506.388933231285,8551.063044355262
603.0,455.12,-,2230.8241533333457,8506.388933231285,8551.063044355262
100.0,436.88,-,2230.8241533333457,8506.388933231285,8551.063044355262
896.0,446.4,-,2230.8241533333457,8506.388933231285,8551.063044355262
54.0,415.48,-,2230.8241533333457,8506.388933231285,8551.063044355262
54.0,415.48,-,2230.8241533333457,8506.388933231285,8551.063044355262
100.0,471.96,-,2230.8241533333457,8506.388933231285,8551.063044355262
189.0,526.6,-,2230.8241533333457,8506.388933231285,8551.063044355262
131.0,521.2,-,2230.8241533333457,8506.388933231285,8551.063044355262
92.0,574.6,-,2230.8241533333457,8506.388933231285,8551.063044355262
54.0,629.56,-,2230.8241533333457,8506.388933231285,8551.063044355262
100.0,629.56,-,2230.8241533333457,8506.388933231285,8551.063044355262
54.0,684.2,-,2230.8241533333457,8506.388933231285,8551.063044355262
100.0,740.68,-,2230.8241533333457,8506.388933231285,8551.063044355262
54.0,738.84,-,2230.8241533333457,8506.388933231285,8551.063044355262
54.0,795.32,-,2230.8241533333457,8506.388933231285,8551.063044355262
54.0,851.8,-,2230.8241533333457,8506.388933231285,8551.063044355262
54.0,852.28,-,2230.8241533333457,8506.388933231285,8551.063044355262
54.0,908.76,-,2230.8241533333457,8506.388933231285,8551.063044355262
54.0,908.76,-,2230.8241533333457,8506.388933231285,8551.063044355262
100.0,965.24,-,2230.8241533333457,8506.388933231285,8551.063044355262
178.0,1019.88,-,2230.8241533333457,8506.388933231285,8551.063044355262
1434.0,1014.92,-,2230.8241533333457,8506.388933231285,8551.063044355262
227.0,1016.2,-,2230.8241533333457,8506.388933231285,8551.063044355262
54.0,1065.76,-,2230.8241533333457,8506.388933231285,8551.063044355262
100.0,1065.76,-,2230.8241533333457,8506.388933231285,8551.063044355262
54.0,1120.4,-,2230.8241533333457,8506.388933231285,8551.063044355262
54.0,1176.88,-,2230.8241533333457,8506.388933231285,8551.063044355262
54.0,1176.88,-,2230.8241533333457,8506.388933231285,8551.063044355262
54.0,1233.36,-,2230.8241533333457,8506.388933231285,8551.063044355262
144.0,1289.84,-,2230.8241533333457,8506.388933231285,8551.063044355262
633.0,1286.24,-,2230.8241533333457,8506.388933231285,8551.063044355262
54.0,1319.56,-,2230.8241533333457,8506.388933231285,8551.063044355262
247.0,1376.04,-,2230.8241533333457,8506.388933231285,8551.063044355262
198.0,1368.32,-,2230.8241533333457,8506.388933231285,8551.063044355262
